state,county,election_year,election_name,registered_voters,ballots_cast
Georgia,Appling,2010,2010 General Election,9306,5263
Georgia,Atkinson,2010,2010 General Election,3640,1492
Georgia,Bacon,2010,2010 General Election,5003,2537
Georgia,Baker,2010,2010 General Election,2122,1269
Georgia,Baldwin,2010,2010 General Election,20299,11528
Georgia,Banks,2010,2010 General Election,8370,4520
Georgia,Barrow,2010,2010 General Election,34015,16318
Georgia,Bartow,2010,2010 General Election,49523,23760
Georgia,Ben Hill,2010,2010 General Election,8115,4037
Georgia,Berrien,2010,2010 General Election,8991,4105
Georgia,Bibb,2010,2010 General Election,81841,45312
Georgia,Bleckley,2010,2010 General Election,6101,3405
Georgia,Brantley,2010,2010 General Election,8351,3404
Georgia,Brooks,2010,2010 General Election,8847,5299
Georgia,Bryan,2010,2010 General Election,17593,8086
Georgia,Bulloch,2010,2010 General Election,33243,14607
Georgia,Burke,2010,2010 General Election,12565,6366
Georgia,Butts,2010,2010 General Election,11842,6270
Georgia,Calhoun,2010,2010 General Election,2833,1689
Georgia,Camden,2010,2010 General Election,24922,10160
Georgia,Candler,2010,2010 General Election,4706,2362
Georgia,Carroll,2010,2010 General Election,56634,27913
Georgia,Catoosa,2010,2010 General Election,33755,13825
Georgia,Charlton,2010,2010 General Election,4974,2244
Georgia,Chatham,2010,2010 General Election,136986,69912
Georgia,Chattahoochee,2010,2010 General Election,2823,751
Georgia,Chattooga,2010,2010 General Election,11491,5080
Georgia,Cherokee,2010,2010 General Election,119768,66254
Georgia,Clarke,2010,2010 General Election,56947,27578
Georgia,Clay,2010,2010 General Election,1736,1121
Georgia,Clayton,2010,2010 General Election,126929,62324
Georgia,Clinch,2010,2010 General Election,3545,1416
Georgia,Cobb,2010,2010 General Election,384255,214355
Georgia,Coffee,2010,2010 General Election,19395,8378
Georgia,Colquitt,2010,2010 General Election,18986,9186
Georgia,Columbia,2010,2010 General Election,73753,37898
Georgia,Cook,2010,2010 General Election,7900,3779
Georgia,Coweta,2010,2010 General Election,70542,37269
Georgia,Crawford,2010,2010 General Election,6654,3749
Georgia,Crisp,2010,2010 General Election,10250,5160
Georgia,Dade,2010,2010 General Election,8735,3659
Georgia,Dawson,2010,2010 General Election,12533,7085
Georgia,Decatur,2010,2010 General Election,13900,7371
Georgia,DeKalb,2010,2010 General Election,390026,212110
Georgia,Dodge,2010,2010 General Election,10040,5408
Georgia,Dooly,2010,2010 General Election,5642,3225
Georgia,Dougherty,2010,2010 General Election,50781,27988
Georgia,Douglas,2010,2010 General Election,68046,37937
Georgia,Early,2010,2010 General Election,6786,3889
Georgia,Echols,2010,2010 General Election,1599,607
Georgia,Effingham,2010,2010 General Election,28327,13455
Georgia,Elbert,2010,2010 General Election,10942,5677
Georgia,Emanuel,2010,2010 General Election,10618,5232
Georgia,Evans,2010,2010 General Election,4936,2524
Georgia,Fannin,2010,2010 General Election,14024,7190
Georgia,Fayette,2010,2010 General Election,70262,42472
Georgia,Floyd,2010,2010 General Election,45120,22102
Georgia,Forsyth,2010,2010 General Election,95639,53630
Georgia,Franklin,2010,2010 General Election,10691,5153
Georgia,Fulton,2010,2010 General Election,520582,260358
Georgia,Gilmer,2010,2010 General Election,14557,8328
Georgia,Glascock,2010,2010 General Election,1675,861
Georgia,Glynn,2010,2010 General Election,43666,21759
Georgia,Gordon,2010,2010 General Election,24542,11042
Georgia,Grady,2010,2010 General Election,12717,6805
Georgia,Greene,2010,2010 General Election,9954,5968
Georgia,Gwinnett,2010,2010 General Election,374415,197593
Georgia,Habersham,2010,2010 General Election,19184,10572
Georgia,Hall,2010,2010 General Election,79653,44606
Georgia,Hancock,2010,2010 General Election,5686,3101
Georgia,Haralson,2010,2010 General Election,14322,7186
Georgia,Harris,2010,2010 General Election,19184,10071
Georgia,Hart,2010,2010 General Election,12606,6264
Georgia,Heard,2010,2010 General Election,6058,2905
Georgia,Henry,2010,2010 General Election,113362,60712
Georgia,Houston,2010,2010 General Election,73592,39394
Georgia,Irwin,2010,2010 General Election,4733,2649
Georgia,Jackson,2010,2010 General Election,29712,16543
Georgia,Jasper,2010,2010 General Election,7680,4286
Georgia,Jeff Davis,2010,2010 General Election,7396,3747
Georgia,Jefferson,2010,2010 General Election,9480,4949
Georgia,Jenkins,2010,2010 General Election,4720,2322
Georgia,Johnson,2010,2010 General Election,4567,2482
Georgia,Jones,2010,2010 General Election,15178,8793
Georgia,Lamar,2010,2010 General Election,9960,5156
Georgia,Lanier,2010,2010 General Election,3964,1720
Georgia,Laurens,2010,2010 General Election,24956,13885
Georgia,Lee,2010,2010 General Election,16877,9579
Georgia,Liberty,2010,2010 General Election,23351,10280
Georgia,Lincoln,2010,2010 General Election,5349,3390
Georgia,Long,2010,2010 General Election,5575,1866
Georgia,Lowndes,2010,2010 General Election,48608,23835
Georgia,Lumpkin,2010,2010 General Election,14539,8276
Georgia,Macon,2010,2010 General Election,6536,3274
Georgia,Madison,2010,2010 General Election,14290,7751
Georgia,Marion,2010,2010 General Election,4084,2136
Georgia,McDuffie,2010,2010 General Election,12529,6328
Georgia,McIntosh,2010,2010 General Election,8091,4800
Georgia,Meriwether,2010,2010 General Election,12655,6522
Georgia,Miller,2010,2010 General Election,3609,1962
Georgia,Mitchell,2010,2010 General Election,11193,5925
Georgia,Monroe,2010,2010 General Election,15219,9081
Georgia,Montgomery,2010,2010 General Election,4415,2587
Georgia,Morgan,2010,2010 General Election,10961,6513
Georgia,Murray,2010,2010 General Election,16093,5977
Georgia,Muscogee,2010,2010 General Election,99409,47880
Georgia,Newton,2010,2010 General Election,54316,28714
Georgia,Oconee,2010,2010 General Election,20728,12755
Georgia,Oglethorpe,2010,2010 General Election,7837,4350
Georgia,Paulding,2010,2010 General Election,71457,32984
Georgia,Peach,2010,2010 General Election,14787,7617
Georgia,Pickens,2010,2010 General Election,16593,9160
Georgia,Pierce,2010,2010 General Election,8756,4202
Georgia,Pike,2010,2010 General Election,10275,5846
Georgia,Polk,2010,2010 General Election,19008,8961
Georgia,Pulaski,2010,2010 General Election,4968,2627
Georgia,Putnam,2010,2010 General Election,11363,6702
Georgia,Quitman,2010,2010 General Election,1366,845
Georgia,Rabun,2010,2010 General Election,9346,5547
Georgia,Randolph,2010,2010 General Election,4050,1654
Georgia,Richmond,2010,2010 General Election,103659,51259
Georgia,Rockdale,2010,2010 General Election,48065,27231
Georgia,Schley,2010,2010 General Election,2365,1220
Georgia,Screven,2010,2010 General Election,8227,3388
Georgia,Seminole,2010,2010 General Election,5184,2790
Georgia,Spalding,2010,2010 General Election,33627,16944
Georgia,Stephens,2010,2010 General Election,13465,6685
Georgia,Stewart,2010,2010 General Election,2814,1627
Georgia,Sumter,2010,2010 General Election,15127,8399
Georgia,Talbot,2010,2010 General Election,4351,2442
Georgia,Taliaferro,2010,2010 General Election,1330,781
Georgia,Tattnall,2010,2010 General Election,8943,4202
Georgia,Taylor,2010,2010 General Election,4439,2563
Georgia,Telfair,2010,2010 General Election,5783,2804
Georgia,Terrell,2010,2010 General Election,5688,3236
Georgia,Thomas,2010,2010 General Election,24534,13459
Georgia,Tift,2010,2010 General Election,18349,9987
Georgia,Toombs,2010,2010 General Election,12591,6716
Georgia,Towns,2010,2010 General Election,7374,4351
Georgia,Treutlen,2010,2010 General Election,3762,1526
Georgia,Troup,2010,2010 General Election,34089,16145
Georgia,Turner,2010,2010 General Election,4635,2461
Georgia,Twiggs,2010,2010 General Election,5856,3303
Georgia,Union,2010,2010 General Election,13495,8420
Georgia,Upson,2010,2010 General Election,13902,7386
Georgia,Walker,2010,2010 General Election,33155,12487
Georgia,Walton,2010,2010 General Election,47220,25876
Georgia,Ware,2010,2010 General Election,15380,7192
Georgia,Warren,2010,2010 General Election,3219,1822
Georgia,Washington,2010,2010 General Election,10958,5976
Georgia,Wayne,2010,2010 General Election,13685,6794
Georgia,Webster,2010,2010 General Election,1391,955
Georgia,Wheeler,2010,2010 General Election,2997,1399
Georgia,White,2010,2010 General Election,13741,7941
Georgia,Whitfield,2010,2010 General Election,37619,16471
Georgia,Wilcox,2010,2010 General Election,4105,2147
Georgia,Wilkes,2010,2010 General Election,6010,3905
Georgia,Wilkinson,2010,2010 General Election,5582,3490
Georgia,Worth,2010,2010 General Election,11106,6069
